
0it [00:00, ?it/s]
10475it [00:21, 447.68it/s]
10522it [00:21, 454.14it/s]
10568it [00:21, 432.28it/s]
10612it [00:21, 415.98it/s]
10654it [00:21, 410.79it/s]
10704it [00:21, 433.31it/s]
10760it [00:22, 464.14it/s]
10813it [00:22, 479.21it/s]
10862it [00:22, 452.89it/s]
10913it [00:22, 468.51it/s]
10961it [00:22, 457.88it/s]
11016it [00:22, 479.07it/s]
11071it [00:22, 496.91it/s]
11123it [00:22, 503.07it/s]
11177it [00:22, 510.92it/s]
11229it [00:23, 504.12it/s]
11280it [00:23, 499.05it/s]
11331it [00:23, 498.42it/s]
11381it [00:23, 459.10it/s]
11428it [00:23, 447.81it/s]
11474it [00:23, 441.32it/s]
11519it [00:23, 410.94it/s]
11564it [00:23, 421.13it/s]
11611it [00:23, 433.30it/s]
11663it [00:23, 455.77it/s]
11710it [00:24, 451.02it/s]
11758it [00:24, 457.44it/s]
11809it [00:24, 469.99it/s]
11857it [00:24, 471.16it/s]
11910it [00:24, 485.58it/s]
11959it [00:24, 482.15it/s]
12010it [00:24, 489.45it/s]
12060it [00:24, 486.80it/s]
12109it [00:24, 465.02it/s]
12156it [00:25, 427.89it/s]
12205it [00:25, 443.88it/s]
12253it [00:25, 452.89it/s]
12304it [00:25, 468.33it/s]
12355it [00:25, 479.70it/s]
12404it [00:25, 442.00it/s]
12450it [00:25, 429.45it/s]
12501it [00:25, 449.52it/s]
12547it [00:25, 443.02it/s]
12597it [00:26, 458.01it/s]
12648it [00:26, 471.98it/s]
12701it [00:26, 485.93it/s]
12751it [00:26, 468.56it/s]
12799it [00:26, 447.91it/s]
12845it [00:26, 430.80it/s]
12889it [00:26, 426.88it/s]
12933it [00:26, 428.62it/s]
12977it [00:26, 419.32it/s]
13032it [00:26, 449.30it/s]
13081it [00:27, 459.69it/s]
13133it [00:27, 475.66it/s]
13187it [00:27, 488.52it/s]
13237it [00:27, 478.81it/s]
13292it [00:27, 497.26it/s]
13343it [00:27, 478.86it/s]
13392it [00:27, 409.54it/s]
13443it [00:27, 432.23it/s]
13494it [00:27, 451.65it/s]
13546it [00:28, 468.98it/s]
13595it [00:28, 472.80it/s]
13652it [00:28, 496.72it/s]
13703it [00:28, 487.62it/s]
13760it [00:28, 507.92it/s]
13812it [00:28, 499.41it/s]
13870it [00:28, 520.19it/s]
13923it [00:28, 520.95it/s]
13985it [00:28, 545.66it/s]
14041it [00:29, 538.52it/s]
14100it [00:29, 550.86it/s]
14156it [00:29, 538.51it/s]
14211it [00:29, 540.70it/s]
14269it [00:29, 550.30it/s]
14325it [00:29, 541.20it/s]
14380it [00:29, 539.85it/s]
14440it [00:29, 556.45it/s]
14496it [00:29, 550.77it/s]
14553it [00:29, 555.26it/s]
14611it [00:30, 560.66it/s]
14668it [00:30, 561.25it/s]
14725it [00:30, 557.32it/s]
14785it [00:30, 567.25it/s]
14842it [00:30, 555.90it/s]
14903it [00:30, 570.54it/s]
14961it [00:30, 556.65it/s]
15021it [00:30, 568.61it/s]
15079it [00:30, 550.60it/s]
15135it [00:30, 540.96it/s]
15190it [00:31, 515.64it/s]
15246it [00:31, 527.13it/s]
15301it [00:31, 532.65it/s]
15363it [00:31, 554.72it/s]
15420it [00:31, 556.96it/s]
15483it [00:31, 576.34it/s]
15542it [00:31, 567.86it/s]
15600it [00:31, 564.28it/s]
15664it [00:31, 584.24it/s]
15723it [00:32, 582.76it/s]
15789it [00:32, 603.94it/s]
15850it [00:32, 596.94it/s]
15910it [00:32, 561.53it/s]
15967it [00:32, 547.97it/s]
16023it [00:32, 512.79it/s]
16076it [00:32, 517.73it/s]
16129it [00:32, 497.94it/s]
16180it [00:32, 485.19it/s]
16236it [00:33, 503.58it/s]
16289it [00:33, 510.71it/s]
16341it [00:33, 493.06it/s]
16391it [00:33, 477.58it/s]
16441it [00:33, 483.18it/s]
16495it [00:33, 496.48it/s]
16545it [00:33, 480.87it/s]
16595it [00:33, 484.66it/s]
16644it [00:33, 476.42it/s]
16702it [00:33, 501.67it/s]
16753it [00:34, 502.29it/s]
16807it [00:34, 510.95it/s]
16859it [00:34, 508.31it/s]
16918it [00:34, 527.52it/s]
16974it [00:34, 535.11it/s]
17033it [00:34, 550.03it/s]
17089it [00:34, 532.02it/s]
17143it [00:34, 495.58it/s]
17194it [00:34, 462.45it/s]
17242it [00:35, 426.15it/s]
17286it [00:35, 389.48it/s]
17329it [00:35, 400.27it/s]
17374it [00:35, 412.13it/s]
17417it [00:35, 410.76it/s]
17466it [00:35, 431.14it/s]
17510it [00:35, 430.58it/s]
17565it [00:35, 457.28it/s]
17616it [00:35, 469.75it/s]
17668it [00:36, 482.61it/s]
17717it [00:36, 473.98it/s]
17779it [00:36, 509.72it/s]
17835it [00:36, 522.75it/s]
17896it [00:36, 543.99it/s]
17955it [00:36, 552.61it/s]
18011it [00:36, 552.77it/s]
18068it [00:36, 555.54it/s]
18124it [00:36, 508.89it/s]
18176it [00:36, 489.00it/s]
18226it [00:37, 468.48it/s]
18274it [00:37, 459.02it/s]
18321it [00:37, 452.05it/s]
18375it [00:37, 475.26it/s]
18429it [00:37, 490.76it/s]
18479it [00:37, 474.29it/s]
18536it [00:37, 497.39it/s]
18587it [00:37, 486.08it/s]
18643it [00:37, 503.37it/s]
18694it [00:38, 504.14it/s]
18745it [00:38, 502.98it/s]
18800it [00:38, 515.32it/s]
18852it [00:38, 513.04it/s]
18904it [00:38, 500.11it/s]
18955it [00:38, 477.92it/s]
19004it [00:38, 413.63it/s]
19048it [00:38, 400.83it/s]
19095it [00:38, 417.76it/s]
19138it [00:39, 390.09it/s]
19179it [00:39, 392.66it/s]
19223it [00:39, 405.55it/s]
19267it [00:39, 402.16it/s]
19319it [00:39, 429.94it/s]
19367it [00:39, 440.76it/s]
19412it [00:39, 434.43it/s]
19456it [00:39, 407.38it/s]
19498it [00:39, 390.72it/s]
19538it [00:40, 368.49it/s]
19586it [00:40, 394.55it/s]
19627it [00:40, 396.34it/s]
19668it [00:40, 398.17it/s]
19713it [00:40, 410.52it/s]
19755it [00:40, 403.38it/s]
19796it [00:40, 382.48it/s]
19835it [00:40, 377.65it/s]
19876it [00:40, 386.06it/s]
19925it [00:41, 411.68it/s]
19968it [00:41, 416.53it/s]
20021it [00:41, 443.22it/s]
20070it [00:41, 454.63it/s]
20123it [00:41, 472.52it/s]
20171it [00:41, 461.24it/s]
20218it [00:41, 456.25it/s]
20271it [00:41, 473.71it/s]
20322it [00:41, 481.39it/s]
20376it [00:41, 495.57it/s]
20426it [00:42, 490.32it/s]
20480it [00:42, 503.80it/s]
20534it [00:42, 511.66it/s]
20586it [00:42, 445.14it/s]
20633it [00:42, 440.14it/s]
20679it [00:42, 436.84it/s]
20731it [00:42, 457.28it/s]
20788it [00:42, 485.79it/s]
20838it [00:42, 487.63it/s]
20891it [00:43, 499.51it/s]
20942it [00:43, 497.70it/s]
20993it [00:43, 492.09it/s]
21052it [00:43, 515.62it/s]
21105it [00:43, 476.06it/s]
21154it [00:43, 458.24it/s]
21201it [00:43, 455.12it/s]
21248it [00:43, 454.54it/s]
21301it [00:43, 473.39it/s]
21362it [00:43, 507.23it/s]
21414it [00:44, 508.90it/s]
21466it [00:44, 502.37it/s]
21524it [00:44, 523.24it/s]
21577it [00:44, 508.34it/s]
21633it [00:44, 522.04it/s]
21691it [00:44, 536.86it/s]
21746it [00:44, 532.00it/s]
21803it [00:44, 540.88it/s]
21864it [00:44, 559.55it/s]
21921it [00:45, 558.16it/s]
21984it [00:45, 576.37it/s]
22042it [00:45, 559.02it/s]
22100it [00:45, 564.51it/s]
22157it [00:45, 542.49it/s]
22216it [00:45, 555.69it/s]
22272it [00:45, 542.86it/s]
22335it [00:45, 566.20it/s]
22393it [00:45, 564.36it/s]
22450it [00:45, 562.96it/s]
22507it [00:46, 548.87it/s]
22563it [00:46, 524.07it/s]
22620it [00:46, 535.32it/s]
22674it [00:46, 520.91it/s]
22727it [00:46, 519.26it/s]
22780it [00:46, 507.05it/s]
22835it [00:46, 518.80it/s]
22889it [00:46, 523.18it/s]
22942it [00:46, 507.27it/s]
23002it [00:47, 530.84it/s]
23056it [00:47, 455.82it/s]
23104it [00:47, 433.57it/s]
23151it [00:47, 443.82it/s]
23197it [00:47, 441.90it/s]
23243it [00:47, 435.09it/s]
23288it [00:47, 438.04it/s]
23333it [00:47, 432.01it/s]
23385it [00:47, 453.74it/s]
23431it [00:48, 445.39it/s]
23488it [00:48, 475.28it/s]
23540it [00:48, 487.55it/s]
23590it [00:48, 462.28it/s]
23637it [00:48, 447.13it/s]
23688it [00:48, 463.95it/s]
23741it [00:48, 480.12it/s]
23790it [00:48, 463.68it/s]
23840it [00:48, 473.56it/s]
23895it [00:49, 492.61it/s]
23949it [00:49, 503.95it/s]
24011it [00:49, 532.35it/s]
24065it [00:49, 520.22it/s]
24118it [00:49, 497.11it/s]
24169it [00:49, 487.28it/s]
24219it [00:49, 477.03it/s]
24268it [00:49, 475.18it/s]
24316it [00:49, 452.25it/s]
24373it [00:49, 481.18it/s]
24424it [00:50, 486.49it/s]
24474it [00:50, 445.40it/s]
24535it [00:50, 484.36it/s]
24591it [00:50, 504.77it/s]
24644it [00:50, 509.55it/s]
24696it [00:50, 475.87it/s]
24745it [00:50, 466.61it/s]
24798it [00:50, 482.68it/s]
24854it [00:50, 500.98it/s]
24905it [00:51, 472.66it/s]
24962it [00:51, 497.57it/s]
25013it [00:51, 475.67it/s]
25071it [00:51, 498.43it/s]
25122it [00:51, 464.99it/s]
25170it [00:51, 438.14it/s]
25216it [00:51, 444.27it/s]
25272it [00:51, 472.99it/s]
25321it [00:51, 471.28it/s]
25369it [00:52, 453.25it/s]
25415it [00:52, 433.18it/s]
25459it [00:52, 404.89it/s]
25503it [00:52, 413.74it/s]
25546it [00:52, 407.25it/s]
25601it [00:52, 440.76it/s]
25651it [00:52, 451.05it/s]
25710it [00:52, 483.52it/s]
25760it [00:52, 470.69it/s]
25809it [00:53, 439.59it/s]
25861it [00:53, 458.87it/s]
25908it [00:53, 443.59it/s]
25960it [00:53, 462.53it/s]
26011it [00:53, 471.77it/s]
26062it [00:53, 482.27it/s]
26111it [00:53, 481.40it/s]
26160it [00:53, 483.44it/s]
26219it [00:53, 509.47it/s]
26279it [00:53, 528.20it/s]
26334it [00:54, 534.41it/s]
26392it [00:54, 545.51it/s]
26447it [00:54, 541.31it/s]
26509it [00:54, 561.77it/s]
26566it [00:54, 545.54it/s]
26626it [00:54, 558.62it/s]
26683it [00:54, 559.70it/s]
26743it [00:54, 569.69it/s]
26801it [00:54, 549.56it/s]
26858it [00:55, 553.86it/s]
26914it [00:55, 538.01it/s]
26976it [00:55, 557.91it/s]
27034it [00:55, 563.96it/s]
27099it [00:55, 584.14it/s]
27158it [00:55, 580.68it/s]
27220it [00:55, 591.12it/s]
27283it [00:55, 599.78it/s]
27344it [00:55, 596.76it/s]
27409it [00:55, 609.52it/s]
27471it [00:56, 594.99it/s]
27531it [00:56, 594.31it/s]
27591it [00:56, 572.78it/s]
27652it [00:56, 583.01it/s]
27712it [00:56, 586.89it/s]
27774it [00:56, 594.66it/s]
27834it [00:56, 563.76it/s]
27891it [00:56, 556.09it/s]
27947it [00:56, 526.85it/s]
28001it [00:57, 510.52it/s]
28053it [00:57, 513.16it/s]
28111it [00:57, 518.23it/s]
28173it [00:57, 542.95it/s]
28231it [00:57, 544.78it/s]
28291it [00:57, 559.87it/s]
28349it [00:57, 563.49it/s]
28406it [00:57, 542.55it/s]
28467it [00:57, 559.36it/s]
28532it [00:57, 582.66it/s]
28591it [00:58, 582.56it/s]
28650it [00:58, 577.81it/s]
28710it [00:58, 581.83it/s]
28769it [00:58, 581.75it/s]
28829it [00:58, 584.18it/s]
28888it [00:58, 563.81it/s]
28945it [00:58, 559.72it/s]
29002it [00:58, 559.18it/s]
29059it [00:58, 528.87it/s]
29119it [00:59, 546.15it/s]
29175it [00:59, 545.35it/s]
29235it [00:59, 559.12it/s]
29292it [00:59, 551.29it/s]
29348it [00:59, 544.08it/s]
29403it [00:59, 542.81it/s]
29468it [00:59, 569.60it/s]
29529it [00:59, 580.98it/s]
29589it [00:59, 585.79it/s]
29648it [00:59, 579.43it/s]
29710it [01:00, 590.54it/s]
29770it [01:00, 590.74it/s]
29830it [01:00, 553.67it/s]
29889it [01:00, 562.81it/s]
29950it [01:00, 575.18it/s]
30008it [01:00, 568.76it/s]
30066it [01:00, 531.74it/s]
30120it [01:00, 529.37it/s]
30174it [01:00, 530.43it/s]
30237it [01:01, 556.59it/s]
30294it [01:01, 549.39it/s]
30356it [01:01, 565.38it/s]
30413it [01:01, 551.49it/s]
30471it [01:01, 558.65it/s]
30528it [01:01, 547.58it/s]
30588it [01:01, 560.36it/s]
30648it [01:01, 569.57it/s]
30706it [01:01, 566.41it/s]
30766it [01:01, 573.81it/s]
30824it [01:02, 540.15it/s]
30882it [01:02, 550.48it/s]
30939it [01:02, 554.25it/s]
30995it [01:02, 502.27it/s]
31049it [01:02, 512.22it/s]
31103it [01:02, 517.86it/s]
31163it [01:02, 539.51it/s]
31225it [01:02, 560.72it/s]
31282it [01:02, 540.31it/s]
31337it [01:03, 538.67it/s]
31392it [01:03, 535.25it/s]
31446it [01:03, 533.02it/s]
31500it [01:03, 526.06it/s]
31556it [01:03, 534.54it/s]
31616it [01:03, 552.52it/s]
31672it [01:03, 535.42it/s]
31729it [01:03, 543.75it/s]
31787it [01:03, 551.58it/s]
