
0it [00:00, ?it/s]
907it [00:42, 13.94it/s]
913it [00:42, 17.82it/s]
917it [00:42, 20.17it/s]
921it [00:42, 22.75it/s]
925it [00:42, 24.11it/s]
929it [00:43, 20.15it/s]
932it [00:43, 12.18it/s]
937it [00:43, 15.67it/s]
942it [00:43, 19.69it/s]
946it [00:43, 22.55it/s]
950it [00:44, 23.82it/s]
954it [00:44, 26.98it/s]
958it [00:44, 29.85it/s]
962it [00:44, 13.31it/s]
965it [00:45,  7.74it/s]
968it [00:45,  9.89it/s]
971it [00:45, 11.72it/s]
974it [00:46, 14.14it/s]
978it [00:46, 17.09it/s]
982it [00:46, 20.55it/s]
986it [00:46, 23.90it/s]
991it [00:46, 27.29it/s]
995it [00:46, 28.51it/s]
999it [00:46, 22.59it/s]
1003it [00:47, 25.93it/s]
1007it [00:47, 27.35it/s]
1011it [00:47, 28.14it/s]
1015it [00:47, 27.02it/s]
1020it [00:47, 19.14it/s]
1026it [00:47, 23.57it/s]
1030it [00:48, 26.19it/s]
1034it [00:48, 29.06it/s]
1039it [00:48, 31.73it/s]
1043it [00:48, 33.31it/s]
1047it [00:48, 34.16it/s]
1051it [00:49, 17.07it/s]
1054it [00:49, 18.95it/s]
1059it [00:49, 22.94it/s]
1063it [00:49, 24.27it/s]
1067it [00:49, 26.94it/s]
1071it [00:49, 28.02it/s]
1075it [00:49, 29.58it/s]
1079it [00:50, 19.39it/s]
1082it [00:50, 12.95it/s]
1085it [00:50, 11.39it/s]
1090it [00:51, 14.73it/s]
1093it [00:51, 17.35it/s]
1096it [00:51, 18.15it/s]
1102it [00:51, 22.27it/s]
1107it [00:51, 26.54it/s]
1111it [00:51, 29.19it/s]
1115it [00:51, 29.81it/s]
1120it [00:51, 33.15it/s]
1124it [00:51, 34.70it/s]
1128it [00:52, 30.90it/s]
1132it [00:52, 31.66it/s]
1136it [00:52, 31.42it/s]
1140it [00:53,  6.97it/s]
1143it [00:54,  8.08it/s]
1146it [00:54, 10.33it/s]
1151it [00:54, 13.46it/s]
1155it [00:54, 16.73it/s]
1159it [00:54, 19.68it/s]
1163it [00:54, 21.13it/s]
1167it [00:54, 24.02it/s]
1172it [00:55, 27.35it/s]
1176it [00:55, 27.62it/s]
1181it [00:55, 31.62it/s]
1185it [00:55, 32.40it/s]
1189it [00:56,  7.33it/s]
1193it [00:57,  9.51it/s]
1196it [00:57, 11.17it/s]
1199it [00:57, 13.60it/s]
1202it [00:57, 15.70it/s]
1206it [00:57, 18.47it/s]
1210it [00:57, 21.84it/s]
1214it [00:57, 25.04it/s]
1218it [00:57, 27.93it/s]
1222it [00:57, 29.87it/s]
1226it [00:58, 30.07it/s]
1231it [00:58, 32.97it/s]
1235it [00:58, 25.46it/s]
1239it [00:58, 27.83it/s]
1243it [00:58, 22.52it/s]
1247it [00:58, 24.51it/s]
1250it [00:59, 25.15it/s]
1253it [00:59,  9.11it/s]
1258it [01:00, 11.89it/s]
1263it [01:00, 15.34it/s]
1267it [01:00, 18.25it/s]
1273it [01:00, 22.87it/s]
1277it [01:00, 26.07it/s]
1281it [01:00, 25.78it/s]
1286it [01:00, 29.35it/s]
1291it [01:00, 33.26it/s]
1296it [01:00, 35.97it/s]
1301it [01:01, 36.56it/s]
1306it [01:01, 38.06it/s]
1311it [01:01, 39.62it/s]
1316it [01:01, 39.77it/s]
1321it [01:01, 26.21it/s]
1325it [01:02,  8.86it/s]
1330it [01:03, 11.63it/s]
1334it [01:03, 14.75it/s]
1339it [01:03, 18.39it/s]
1344it [01:03, 22.29it/s]
1348it [01:03, 24.13it/s]
1352it [01:03, 25.88it/s]
1356it [01:03, 26.50it/s]
1360it [01:03, 28.38it/s]
1364it [01:04, 29.08it/s]
1368it [01:04, 31.01it/s]
1373it [01:04, 34.28it/s]
1378it [01:04, 37.56it/s]
1384it [01:04, 40.55it/s]
1389it [01:06,  8.30it/s]
1393it [01:06, 10.09it/s]
1396it [01:06, 12.45it/s]
1399it [01:06, 14.88it/s]
1402it [01:06, 17.17it/s]
1405it [01:06, 19.31it/s]
1409it [01:06, 22.45it/s]
1413it [01:07, 21.78it/s]
1418it [01:07, 26.07it/s]
1424it [01:07, 30.77it/s]
1430it [01:07, 35.81it/s]
1435it [01:07, 33.51it/s]
1440it [01:07, 35.41it/s]
1445it [01:07, 37.41it/s]
1450it [01:07, 39.23it/s]
1455it [01:08, 21.86it/s]
1459it [01:08, 15.07it/s]
1462it [01:09, 14.39it/s]
1467it [01:09, 18.13it/s]
1471it [01:09, 21.56it/s]
1476it [01:09, 25.86it/s]
1481it [01:09, 25.64it/s]
1485it [01:09, 28.50it/s]
1492it [01:09, 33.54it/s]
1497it [01:10, 32.99it/s]
1501it [01:10, 32.61it/s]
1506it [01:10, 35.91it/s]
1511it [01:10, 37.31it/s]
1516it [01:10, 39.16it/s]
1521it [01:10, 34.44it/s]
1525it [01:10, 32.22it/s]
1529it [01:10, 32.49it/s]
1533it [01:11, 14.15it/s]
1536it [01:11, 12.65it/s]
1541it [01:12, 15.95it/s]
1546it [01:12, 19.59it/s]
1550it [01:12, 23.09it/s]
1555it [01:12, 27.11it/s]
1560it [01:12, 30.27it/s]
1564it [01:12, 31.68it/s]
1568it [01:12, 32.75it/s]
1572it [01:12, 30.90it/s]
1576it [01:13, 29.36it/s]
1580it [01:13, 29.99it/s]
1584it [01:13, 32.04it/s]
1588it [01:13, 23.59it/s]
1592it [01:13, 26.37it/s]
1596it [01:14,  8.02it/s]
1600it [01:15, 10.39it/s]
1603it [01:15, 10.58it/s]
1607it [01:15, 13.48it/s]
1611it [01:15, 16.16it/s]
1615it [01:15, 19.24it/s]
1619it [01:15, 22.05it/s]
1623it [01:16, 18.71it/s]
1626it [01:16, 20.66it/s]
1629it [01:16, 20.12it/s]
1632it [01:16, 21.76it/s]
1635it [01:16, 19.91it/s]
1638it [01:16, 20.04it/s]
1641it [01:16, 22.18it/s]
1645it [01:16, 25.55it/s]
1648it [01:17, 24.54it/s]
1653it [01:17, 28.59it/s]
1657it [01:17, 13.90it/s]
1661it [01:18, 16.68it/s]
1665it [01:18, 19.55it/s]
1670it [01:18, 23.35it/s]
1674it [01:18, 26.09it/s]
1679it [01:18, 29.23it/s]
1683it [01:18, 30.59it/s]
1687it [01:18, 25.53it/s]
1691it [01:18, 27.51it/s]
1695it [01:19, 29.73it/s]
1699it [01:19, 30.40it/s]
1703it [01:19, 32.57it/s]
1708it [01:19, 35.18it/s]
1712it [01:19, 35.97it/s]
1716it [01:19, 32.87it/s]
1720it [01:19, 30.63it/s]
