
0it [00:00, ?it/s]
11421it [00:21, 420.15it/s]
11464it [00:21, 417.13it/s]
11507it [00:21, 418.28it/s]
11549it [00:21, 403.27it/s]
11601it [00:21, 430.72it/s]
11649it [00:21, 443.86it/s]
11694it [00:21, 445.09it/s]
11739it [00:21, 413.65it/s]
11784it [00:21, 422.51it/s]
11839it [00:22, 451.77it/s]
11886it [00:22, 455.02it/s]
11933it [00:22, 432.44it/s]
11982it [00:22, 448.08it/s]
12039it [00:22, 478.16it/s]
12093it [00:22, 493.44it/s]
12149it [00:22, 510.41it/s]
12207it [00:22, 528.84it/s]
12266it [00:22, 543.33it/s]
12321it [00:22, 525.17it/s]
12375it [00:23, 523.42it/s]
12428it [00:23, 520.35it/s]
12481it [00:23, 504.34it/s]
12534it [00:23, 510.93it/s]
12587it [00:23, 516.42it/s]
12639it [00:23, 516.53it/s]
12695it [00:23, 519.08it/s]
12750it [00:23, 525.67it/s]
12808it [00:23, 540.29it/s]
12868it [00:24, 555.82it/s]
12924it [00:24, 553.58it/s]
12980it [00:24, 539.97it/s]
13035it [00:24, 540.08it/s]
13090it [00:24, 530.28it/s]
13144it [00:24, 505.57it/s]
13195it [00:24, 504.59it/s]
13246it [00:24, 500.09it/s]
13303it [00:24, 507.75it/s]
13356it [00:24, 513.08it/s]
13408it [00:25, 496.94it/s]
13458it [00:25, 493.30it/s]
13508it [00:25, 482.20it/s]
13557it [00:25, 472.99it/s]
13605it [00:25, 465.02it/s]
13652it [00:25, 453.30it/s]
13698it [00:25, 416.57it/s]
13743it [00:25, 424.10it/s]
13793it [00:25, 443.85it/s]
13843it [00:26, 458.04it/s]
13890it [00:26, 418.91it/s]
13933it [00:26, 410.74it/s]
13983it [00:26, 433.26it/s]
14040it [00:26, 465.48it/s]
14088it [00:26, 464.89it/s]
14136it [00:26, 458.36it/s]
14186it [00:26, 468.20it/s]
14236it [00:26, 476.98it/s]
14286it [00:27, 482.10it/s]
14340it [00:27, 497.16it/s]
14391it [00:27, 492.52it/s]
14441it [00:27, 464.07it/s]
14488it [00:27, 460.99it/s]
14538it [00:27, 470.52it/s]
14586it [00:27, 463.04it/s]
14636it [00:27, 470.84it/s]
14690it [00:27, 488.25it/s]
14747it [00:27, 509.64it/s]
14799it [00:28, 512.34it/s]
14859it [00:28, 534.22it/s]
14913it [00:28, 525.82it/s]
14967it [00:28, 529.66it/s]
15023it [00:28, 522.18it/s]
15076it [00:28, 510.21it/s]
15128it [00:28, 506.22it/s]
15179it [00:28, 501.94it/s]
15230it [00:28, 482.53it/s]
15286it [00:29, 501.37it/s]
15337it [00:29, 497.92it/s]
15390it [00:29, 504.36it/s]
15442it [00:29, 507.57it/s]
15499it [00:29, 523.28it/s]
15552it [00:29, 521.93it/s]
15612it [00:29, 542.29it/s]
15667it [00:29, 532.11it/s]
15721it [00:29, 531.70it/s]
15775it [00:29, 525.85it/s]
15828it [00:30, 513.13it/s]
15880it [00:30, 491.06it/s]
15934it [00:30, 502.32it/s]
15985it [00:30, 495.21it/s]
16038it [00:30, 503.96it/s]
16101it [00:30, 534.87it/s]
16156it [00:30, 526.08it/s]
16214it [00:30, 540.89it/s]
16269it [00:30, 533.54it/s]
16323it [00:30, 533.94it/s]
16384it [00:31, 551.95it/s]
16440it [00:31, 525.90it/s]
16494it [00:31, 520.64it/s]
16547it [00:31, 503.69it/s]
16598it [00:31, 504.35it/s]
16649it [00:31, 505.85it/s]
16700it [00:31, 486.91it/s]
16749it [00:31, 484.23it/s]
16807it [00:31, 509.06it/s]
16862it [00:32, 519.23it/s]
16918it [00:32, 529.28it/s]
16978it [00:32, 547.52it/s]
17036it [00:32, 556.12it/s]
17092it [00:32, 535.10it/s]
17148it [00:32, 540.51it/s]
17203it [00:32, 517.67it/s]
17256it [00:32, 442.34it/s]
17303it [00:32, 441.93it/s]
17349it [00:33, 444.36it/s]
17395it [00:33, 430.91it/s]
17443it [00:33, 442.30it/s]
17488it [00:33, 437.43it/s]
17534it [00:33, 443.85it/s]
17585it [00:33, 461.09it/s]
17637it [00:33, 475.31it/s]
17694it [00:33, 500.04it/s]
17745it [00:33, 484.26it/s]
17796it [00:33, 491.45it/s]
17860it [00:34, 527.10it/s]
17921it [00:34, 547.87it/s]
17989it [00:34, 580.34it/s]
18049it [00:34, 555.53it/s]
18106it [00:34, 490.50it/s]
18163it [00:34, 510.37it/s]
18224it [00:34, 535.19it/s]
18280it [00:34, 538.05it/s]
18342it [00:34, 559.79it/s]
18399it [00:35, 532.12it/s]
18457it [00:35, 545.10it/s]
18513it [00:35, 535.65it/s]
18573it [00:35, 550.99it/s]
18629it [00:35, 516.21it/s]
18692it [00:35, 545.74it/s]
18748it [00:35, 545.94it/s]
18813it [00:35, 573.40it/s]
18872it [00:35, 566.42it/s]
18930it [00:36, 557.54it/s]
18997it [00:36, 586.94it/s]
19057it [00:36, 564.28it/s]
19115it [00:36, 529.84it/s]
19175it [00:36, 546.73it/s]
19238it [00:36, 567.44it/s]
19298it [00:36, 574.08it/s]
19356it [00:36, 523.32it/s]
19416it [00:36, 543.91it/s]
19473it [00:37, 550.65it/s]
19535it [00:37, 563.26it/s]
19593it [00:37, 564.09it/s]
19650it [00:37, 508.18it/s]
19705it [00:37, 518.43it/s]
19764it [00:37, 537.22it/s]
19826it [00:37, 545.90it/s]
19893it [00:37, 576.61it/s]
19952it [00:37, 570.89it/s]
20010it [00:38, 511.52it/s]
20071it [00:38, 535.74it/s]
20127it [00:38, 539.02it/s]
20184it [00:38, 547.41it/s]
20247it [00:38, 568.63it/s]
20305it [00:38, 502.86it/s]
20358it [00:38, 490.42it/s]
20424it [00:38, 530.36it/s]
20479it [00:38, 524.89it/s]
20541it [00:38, 548.42it/s]
20602it [00:39, 564.10it/s]
20660it [00:39, 560.78it/s]
20722it [00:39, 575.70it/s]
20781it [00:39, 578.80it/s]
20842it [00:39, 584.28it/s]
20901it [00:39, 532.74it/s]
20966it [00:39, 562.63it/s]
