
0it [00:00, ?it/s]
19567it [00:19, 1018.17it/s]
19669it [00:19, 1018.39it/s]
19776it [00:19, 1033.10it/s]
19882it [00:19, 1038.60it/s]
19986it [00:20, 1035.02it/s]
20090it [00:20, 1020.76it/s]
20193it [00:20, 1006.29it/s]
20294it [00:20, 999.72it/s] 
20395it [00:20, 969.00it/s]
20493it [00:20, 902.48it/s]
20597it [00:20, 937.53it/s]
20699it [00:20, 959.19it/s]
20796it [00:20, 956.04it/s]
20899it [00:21, 974.59it/s]
20997it [00:21, 969.68it/s]
21100it [00:21, 986.62it/s]
21200it [00:21, 959.26it/s]
21297it [00:21, 960.60it/s]
21399it [00:21, 975.50it/s]
21500it [00:21, 984.35it/s]
21601it [00:21, 991.43it/s]
21701it [00:21, 990.58it/s]
21801it [00:21, 947.19it/s]
21899it [00:22, 956.08it/s]
21996it [00:22, 957.88it/s]
22094it [00:22, 963.59it/s]
22195it [00:22, 975.48it/s]
22293it [00:22, 973.04it/s]
22396it [00:22, 987.60it/s]
22499it [00:22, 998.12it/s]
22600it [00:22, 1000.41it/s]
22701it [00:22, 997.91it/s] 
22801it [00:22, 997.79it/s]
22901it [00:23, 996.16it/s]
23001it [00:23, 989.58it/s]
23102it [00:23, 994.02it/s]
23202it [00:23, 990.20it/s]
23303it [00:23, 993.78it/s]
23405it [00:23, 1001.04it/s]
23507it [00:23, 1006.51it/s]
23608it [00:23, 995.61it/s] 
23708it [00:23, 990.76it/s]
23808it [00:23, 980.29it/s]
23907it [00:24, 972.83it/s]
24005it [00:24, 972.95it/s]
24103it [00:24, 964.89it/s]
24202it [00:24, 970.69it/s]
24301it [00:24, 974.19it/s]
24406it [00:24, 993.84it/s]
24506it [00:24, 990.65it/s]
24606it [00:24, 985.32it/s]
24705it [00:24, 977.84it/s]
24806it [00:25, 985.81it/s]
24905it [00:25, 977.35it/s]
25003it [00:25, 956.70it/s]
25099it [00:25, 955.43it/s]
25195it [00:25, 955.11it/s]
25291it [00:25, 936.09it/s]
25391it [00:25, 953.45it/s]
25489it [00:25, 959.93it/s]
25587it [00:25, 962.43it/s]
25689it [00:25, 976.21it/s]
25788it [00:26, 979.39it/s]
25891it [00:26, 991.12it/s]
25993it [00:26, 998.00it/s]
26093it [00:26, 995.46it/s]
26193it [00:26, 959.13it/s]
26290it [00:26, 958.01it/s]
26395it [00:26, 981.32it/s]
26497it [00:26, 991.13it/s]
26600it [00:26, 1001.98it/s]
26702it [00:26, 1007.03it/s]
26806it [00:27, 1014.13it/s]
26909it [00:27, 1015.51it/s]
27011it [00:27, 1010.15it/s]
27113it [00:27, 993.82it/s] 
27213it [00:27, 980.94it/s]
27312it [00:27, 983.27it/s]
27414it [00:27, 993.55it/s]
27514it [00:27, 985.48it/s]
27613it [00:27, 974.91it/s]
27713it [00:27, 980.80it/s]
27812it [00:28, 976.17it/s]
27915it [00:28, 990.56it/s]
28015it [00:28, 979.90it/s]
28114it [00:28, 973.60it/s]
28213it [00:28, 976.16it/s]
28311it [00:28, 919.55it/s]
28404it [00:28, 891.08it/s]
28502it [00:28, 913.90it/s]
28602it [00:28, 935.79it/s]
28701it [00:29, 949.84it/s]
28799it [00:29, 958.22it/s]
28897it [00:29, 964.16it/s]
28994it [00:29, 957.63it/s]
29092it [00:29, 963.82it/s]
29189it [00:29, 958.31it/s]
29286it [00:29, 961.20it/s]
29384it [00:29, 964.62it/s]
29484it [00:29, 973.42it/s]
29582it [00:29, 972.78it/s]
29680it [00:30, 974.87it/s]
29778it [00:30, 950.48it/s]
29874it [00:30, 940.78it/s]
29969it [00:30, 936.79it/s]
30067it [00:30, 948.96it/s]
30163it [00:30, 950.86it/s]
30259it [00:30, 953.39it/s]
30357it [00:30, 959.09it/s]
30455it [00:30, 964.03it/s]
30552it [00:30, 962.52it/s]
30649it [00:31, 962.99it/s]
30746it [00:31, 960.55it/s]
30843it [00:31, 952.99it/s]
30941it [00:31, 960.23it/s]
31038it [00:31, 955.14it/s]
31134it [00:31, 949.62it/s]
31232it [00:31, 958.38it/s]
31328it [00:31, 953.88it/s]
31426it [00:31, 959.82it/s]
